Coin,Extreme Fear,Extreme Greed,Fear,Greed,Neutral
@1,12.08652957382353,16.522964483,20.1790405405,9.548488398809525,-8.5743e-05
@10,-0.01900025,-0.025333666666666668,-0.01900025,-0.0152002,-0.01900025
@100,5.674631300000001,6.89558385,7.628155380000001,6.89558385,
@103,6.810258,6.049659166666667,5.222921304347826,4.781994444444445,
@107,121.66195635957827,122.96448876571671,79.61258198425183,65.47722702792196,42.2963332031953
@109,283.3880375789474,245.8820395,161.36786670588234,217.44410047999997,367.05073699999997
@11,0.0,0.0,0.0,0.0,0.0
@112,-17.67731469230769,-10.863355166666665,-0.1503384666666663,-4.853873777777777,
@113,2.5199537999999997,3.690005625,3.2866978,2.415018857142857,
@114,,0.6543405,0.6543405,0.6543405,
@116,-2.82933225,-1.6407573333333332,-0.41739915384615384,-0.36975414285714286,0.1497786
@117,-0.026825,0.7538306666666665,1.8467485999999997,1.534486333333333,
@12,-0.00074725,-0.0014945,-0.0012809999999999998,-0.00074725,0.0
@123,-0.025778147055214723,-0.025778147055214723,-0.025778147055214723,-0.025778147055214723,
@124,-16.112931255,-16.112931255,-16.112931255,-16.112931255,
@125,21.557229683913043,16.19256212423077,-0.2625165376595747,7.551991363714285,
@13,-0.0707735,-0.04718233333333333,-0.040442,-0.04718233333333333,-0.04718233333333333
@135,-5981.369216,-5981.369216,-5981.369216,-5981.369216,-5981.369216
@138,,13.719086333333335,15.7003185,12.72847025,10.9453613
@14,-20.215673529411763,,-19.826910576923076,-20.8282696969697,
@142,7.955965982031045,4.449207122272857,5.355567551222668,6.14602670834706,1.5139668229082863
@147,,-70.1677014,-70.1677014,-70.1677014,-70.1677014
@15,0.0,0.0,0.0,0.0,0.0
@151,35.00750867856468,-2.354488584,32.07686072675648,36.094661671316665,55.640333926806825
@152,-0.05845145454545455,,-0.05845145454545454,-0.05845145454545454,-0.05845145454545455
@153,0.3013933714285714,,0.08804955974842768,0.2652740474934037,0.23201467961165048
@16,-0.0181195,-0.024159333333333335,-0.018119499999999997,-0.0144956,-0.018119499999999997
@17,0.0,,0.0,0.0,0.0
@18,0.0,,0.0,0.0,0.0
@19,0.0,,0.0,0.0,0.0
@2,-32.98787825,-65.9757565,-26.390302600000002,-16.493939125,0.0
@20,-27.476586538461536,-5.0011078,-22.49824879047619,-19.69371185483871,-18.044150384615385
@21,,,0.0,0.0,0.0
@23,-0.032575859454545456,-0.03254404794117647,-0.030943782258064517,-0.03281561792079208,-0.03240946076923077
@24,-0.00096125,-0.0019225,-0.001647857142857143,-0.00096125,0.0
@25,0.0,,0.0,0.0,0.0
@26,-0.0266264,-0.02958488888888889,-0.0266264,-0.024205818181818183,-0.0266264
@28,0.0,0.0,0.0,0.0,0.0
@29,-0.014389333333333332,-0.0172672,-0.014389333333333332,-0.012333714285714285,-0.014389333333333332
@3,-0.23963566666666666,-0.00124925,-0.17616227142857144,-0.11055294594594595,-0.19866129411764705
@30,0.0,0.0,0.0,0.0,0.0
@31,11.066994000000001,16.600491,13.280392800000001,8.3002455,0.0
@32,0.0,,0.0,0.0,0.0
@33,2.7123694,4.520615666666667,4.0685541,2.7123694,0.0
@34,0.0,,0.0,0.0,0.0
@35,16.751302,22.335069333333333,16.751302,13.4010416,16.751302
@36,5.219222,7.828833,6.2630664000000005,3.9144165,0.0
@37,19.067644785714286,25.475066666666667,25.91018933333333,15.518509722222225,2.2823975
@38,11.086928333333333,1.175845625,0.9901857894736839,-1.7409670454545456,1.1066782352941171
@39,12.234332,6.117166,4.8937328,6.117166,6.117166
@4,-0.6339448493750001,1.1397040714285713,0.2678284177501413,2.235090590291262,-2.40306650038373
@40,-0.5484795000000001,-0.15397256250000013,1.9901534999999997,0.7932696666666664,8.371207499999999
@41,9.1837165,18.367433,5.247838,7.346973199999999,7.346973199999999
@42,,0.0,0.0,0.0,0.0
@44,0.0,0.0,0.0,0.0,0.0
@45,0.0,,0.0,,
@46,0.0,0.0,0.0,0.0,0.0
@47,25.1481445,12.57407225,11.17695311111111,10.059257800000001,12.57407225
@48,0.0,0.0,0.0,0.0,0.0
@49,-10.218240499999999,-8.21732476,-5.930563914285714,-9.106620644444444,-6.883380933333332
@51,-3.231961774278846,-1.7234311590404041,-1.4238101393002256,-0.8142304582740213,-0.9787659151155116
@53,13.013217599999999,16.729268,22.922685333333334,20.6304168,0.0
@59,82.55125056177778,56.91035352152542,22.09446828634921,57.1057959495283,46.630586956388896
@6,0.0,,0.0,0.0,0.0
@61,0.0,0.0,0.0,0.0,0.0
@63,-13.783693963333334,-10.342033445,-6.900372926666666,-13.783693963333333,-0.01705189
@68,-0.00314588,-0.00314588,-0.00314588,-0.00314588,
@7,0.0,,0.0,0.0,0.0
@74,55.874124916666666,53.03142585714286,38.28171315,41.246664555555554,6.09452025
@78,-0.031867404545454545,-0.032126155999999996,-0.030903882857142854,-0.032126573414634145,-0.0328377225
@8,-1.6243237699115045,-0.6500428773584904,-1.1484375226130654,-0.8214436818181818,-1.0402994357429718
@83,-0.5254015273170731,-17.275300245079364,-2.5952385527999997,-67.09405192125,-348.26873066666667
@85,265.10666976393446,231.9070312692347,258.5988701916114,151.1329153562909,70.3278442857317
@86,-0.00020994,-0.00020994,-0.00020994,-0.00020994,
@9,-25.88737941428571,-30.20194265,-10.067314216666666,-30.20194265,0.0
@93,,7.9749485,7.9749485,7.9749485,
@95,-15.285414500000002,-15.285414500000002,-15.2854145,-15.2854145,
AAVE,9.39482283392226,15.001319341463415,18.256914538904898,18.70735682361111,-29.06436540909091
