classification,avg_pnl,win_rate,total_trades
Extreme Fear,47.887082114417794,0.4115340534043552,2745
Extreme Greed,61.28562657414945,0.43312863243051286,2720
Fear,50.97767582879576,0.4099111006327501,2787
Greed,38.45138998206848,0.40285825473168657,2791
Neutral,40.65997969361415,0.39384370966140403,2537
